Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ)
A B C TISSUE PRODUCTS PTY LTD ,33003085112,26584,86999,775366
A.A. SCOTT PTY LTD,14007601667,155674,6966,2270880
A.C.N. 085 239 998 PTY LTD ,39085239998,7420,187055,899646
A.J. BUSH & SONS PTY LTD ,77000134010,66236,19179,964268
AAPC LIMITED ,87009175820,19015,167948,1038942
ADELAIDE BRIGHTON LIMITED ,15007596018,2285288,269882,14948998
ADITYA BIRLA MINERALS LIMITED ,37103515037,73376,4229,1417985
AERIS RESOURCES LIMITED ,30147131977,17815,65459,528890
AGL ENERGY LIMITED1 ,74115061375,38346476,495693,300106540
AIR LIQUIDE AUSTRALIA LIMITED ,57004385782,6009,280879,1224544
ALCAN GOVE PTY LIMITED ,76000453663,212219,0,2725392
ALCOA AUSTRALIAN HOLDINGS PTY LTD ,33096987370,7649023,6057867,136030380
ALDI FOODS PTY LIMITED ,18086210139,33264,208052,1265930
ALINTA ENERGY FINANCE PTY LTD ,39149229998,4628228,15946,46642668
ALLIANCE AIRLINES PTY LIMITED ,81107165980,159094,1355,2292104
AMCOR LIMITED ,62000017372,7565,64333,356044
AMP LIMITED ,49079354519,9021,112962,563253
ANGLO AMERICAN AUSTRALIA LIMITED ,47004892371,4072937,630688,13072831
ANGLOGOLD ASHANTI AUSTRALIA LIMITED ,42008737424,337149,317,5191193
APT PIPELINES LIMITED ,89009666700,350922,26857,3177910
ARDENT LEISURE LIMITED ,22104529106,2677,55581,283328
ARMESTO'S TRANSPORT PTY. LTD. ,46060651514,74055,117,1059959
ARNOTTS BISCUITS HOLDINGS PTY LTD ,84080889621,28325,55823,786684
ARRIUM LIMITED ,63004410833,2852625,1175472,39082437
ARROW ENERGY HOLDINGS PTY LTD ,94141385293,1727037,33451,24713923
ASAHI HOLDINGS (AUSTRALIA) PTY LTD ,48135315767,18325,56480,552036
ASALEO CARE LIMITED ,61154461300,44016,156334,1331875
ASCIANO LIMITED ,26123652862,1034029,167760,15556729
ASP SHIP MANAGEMENT PTY LTD ,81080401949,55301,0,758643
ATCO AUSTRALIA PTY. LTD. ,74091033546,1122880,46148,12983701
